# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-07-04 02:07:42 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04233300 SIXMILE CREEK AT BETHEL GROVE, NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04233300
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
USGS	04233300	2000-03-02	171	A
USGS	04233300	2000-03-03	131	A
USGS	04233300	2000-03-04	115	A
USGS	04233300	2000-03-05	108	A
USGS	04233300	2000-03-06	91	A
USGS	04233300	2000-03-07	84	A
USGS	04233300	2000-03-08	121	A
USGS	04233300	2000-03-09	106	A
USGS	04233300	2000-03-10	110	A
USGS	04233300	2000-03-11	105	A
USGS	04233300	2000-03-12	175	A
USGS	04233300	2000-03-13	110	A
USGS	04233300	2000-03-14	99	A
USGS	04233300	2000-03-15	88	A
USGS	04233300	2000-03-16	81	A
USGS	04233300	2000-03-17	100	A
USGS	04233300	2000-03-18	76	A
USGS	04233300	2000-03-19	72	A
USGS	04233300	2000-03-20	66	A
USGS	04233300	2000-03-21	58	A
USGS	04233300	2000-03-22	53	A
USGS	04233300	2000-03-23	48	A
USGS	04233300	2000-03-24	43	A
USGS	04233300	2000-03-25	43	A
USGS	04233300	2000-03-26	41	A
USGS	04233300	2000-03-27	34	A
USGS	04233300	2000-03-28	131	A
USGS	04233300	2000-03-29	77	A
USGS	04233300	2000-03-30	65	A
USGS	04233300	2000-03-31	62	A
USGS	04233300	2000-04-01	57	A
USGS	04233300	2000-04-02	73	A
USGS	04233300	2000-04-03	137	A
USGS	04233300	2000-04-04	508	A
USGS	04233300	2000-04-05	253	A
USGS	04233300	2000-04-06	167	A
USGS	04233300	2000-04-07	114	A
USGS	04233300	2000-04-08	226	A
USGS	04233300	2000-04-09	266	A
USGS	04233300	2000-04-10	186	A
USGS	04233300	2000-04-11	152	A
USGS	04233300	2000-04-12	165	A
USGS	04233300	2000-04-13	125	A
USGS	04233300	2000-04-14	112	A
USGS	04233300	2000-04-15	99	A
USGS	04233300	2000-04-16	90	A
USGS	04233300	2000-04-17	85	A
USGS	04233300	2000-04-18	176	A
USGS	04233300	2000-04-19	126	A
USGS	04233300	2000-04-20	110	A
USGS	04233300	2000-04-21	173	A
USGS	04233300	2000-04-22	236	A
USGS	04233300	2000-04-23	224	A
USGS	04233300	2000-04-24	172	A
USGS	04233300	2000-04-25	122	A
USGS	04233300	2000-04-26	101	A
USGS	04233300	2000-04-27	88	A
USGS	04233300	2000-04-28	79	A
USGS	04233300	2000-04-29	66	A
USGS	04233300	2000-04-30	57	A
USGS	04233300	2000-05-01	51	A
USGS	04233300	2000-05-02	73	A
USGS	04233300	2000-05-03	50	A
USGS	04233300	2000-05-04	43	A
USGS	04233300	2000-05-05	42	A
USGS	04233300	2000-05-06	37	A
USGS	04233300	2000-05-07	33	A
USGS	04233300	2000-05-08	31	A
USGS	04233300	2000-05-09	27	A
USGS	04233300	2000-05-10	101	A
USGS	04233300	2000-05-11	114	A
USGS	04233300	2000-05-12	504	A
USGS	04233300	2000-05-13	467	A
USGS	04233300	2000-05-14	351	A
USGS	04233300	2000-05-15	204	A
USGS	04233300	2000-05-16	140	A
USGS	04233300	2000-05-17	93	A
USGS	04233300	2000-05-18	111	A
USGS	04233300	2000-05-19	186	A
USGS	04233300	2000-05-20	142	A
USGS	04233300	2000-05-21	129	A
USGS	04233300	2000-05-22	115	A
USGS	04233300	2000-05-23	107	A
USGS	04233300	2000-05-24	273	A
USGS	04233300	2000-05-25	303	A
USGS	04233300	2000-05-26	184	A
USGS	04233300	2000-05-27	129	A
USGS	04233300	2000-05-28	99	A
USGS	04233300	2000-05-29	83	A
USGS	04233300	2000-05-30	68	A
USGS	04233300	2000-05-31	59	A
USGS	04233300	2000-06-01	54	A
USGS	04233300	2000-06-02	51	A
USGS	04233300	2000-06-03	49	A
USGS	04233300	2000-06-04	41	A
USGS	04233300	2000-06-05	40	A
USGS	04233300	2000-06-06	55	A
USGS	04233300	2000-06-07	52	A
USGS	04233300	2000-06-08	40	A
USGS	04233300	2000-06-09	38	A
USGS	04233300	2000-06-10	36	A
USGS	04233300	2000-06-11	130	A
USGS	04233300	2000-06-12	175	A
USGS	04233300	2000-06-13	122	A
USGS	04233300	2000-06-14	129	A
USGS	04233300	2000-06-15	90	A
USGS	04233300	2000-06-16	73	A
USGS	04233300	2000-06-17	64	A
USGS	04233300	2000-06-18	127	A
USGS	04233300	2000-06-19	114	A
USGS	04233300	2000-06-20	66	A
USGS	04233300	2000-06-21	234	A
USGS	04233300	2000-06-22	201	A
USGS	04233300	2000-06-23	98	A
USGS	04233300	2000-06-24	73	A
USGS	04233300	2000-06-25	69	A
USGS	04233300	2000-06-26	65	A
USGS	04233300	2000-06-27	56	A
USGS	04233300	2000-06-28	50	A:e
USGS	04233300	2000-06-29	45	A:e
USGS	04233300	2000-06-30	60	A:e
USGS	04233300	2000-07-01	36	A:e
USGS	04233300	2000-07-02	30	A:e
USGS	04233300	2000-07-03	28	A:e
USGS	04233300	2000-07-04	33	A:e
USGS	04233300	2000-07-05	26	A:e
USGS	04233300	2000-07-06	23	A:e
USGS	04233300	2000-07-07	20	A:e
USGS	04233300	2000-07-08	18	A
USGS	04233300	2000-07-09	18	A
USGS	04233300	2000-07-10	18	A
USGS	04233300	2000-07-11	15	A
USGS	04233300	2000-07-12	14	A
USGS	04233300	2000-07-13	13	A
USGS	04233300	2000-07-14	12	A
USGS	04233300	2000-07-15	49	A
USGS	04233300	2000-07-16	43	A
USGS	04233300	2000-07-17	46	A
USGS	04233300	2000-07-18	23	A
USGS	04233300	2000-07-19	19	A
USGS	04233300	2000-07-20	17	A
USGS	04233300	2000-07-21	19	A
USGS	04233300	2000-07-22	19	A
USGS	04233300	2000-07-23	15	A
USGS	04233300	2000-07-24	14	A
USGS	04233300	2000-07-25	13	A
USGS	04233300	2000-07-26	12	A
USGS	04233300	2000-07-27	13	A
USGS	04233300	2000-07-28	12	A
USGS	04233300	2000-07-29	12	A
USGS	04233300	2000-07-30	13	A
USGS	04233300	2000-07-31	14	A
USGS	04233300	2000-08-01	12	A
USGS	04233300	2000-08-02	11	A
USGS	04233300	2000-08-03	18	A
USGS	04233300	2000-08-04	19	A
USGS	04233300	2000-08-05	12	A
USGS	04233300	2000-08-06	12	A
USGS	04233300	2000-08-07	15	A
USGS	04233300	2000-08-08	12	A
USGS	04233300	2000-08-09	19	A
USGS	04233300	2000-08-10	42	A
USGS	04233300	2000-08-11	17	A
USGS	04233300	2000-08-12	16	A
USGS	04233300	2000-08-13	14	A
USGS	04233300	2000-08-14	13	A
USGS	04233300	2000-08-15	12	A
USGS	04233300	2000-08-16	11	A
USGS	04233300	2000-08-17	10	A
USGS	04233300	2000-08-18	10	A
USGS	04233300	2000-08-19	10	A
USGS	04233300	2000-08-20	9.5	A
USGS	04233300	2000-08-21	8.8	A
USGS	04233300	2000-08-22	8.8	A
USGS	04233300	2000-08-23	13	A
USGS	04233300	2000-08-24	13	A
USGS	04233300	2000-08-25	10	A
USGS	04233300	2000-08-26	9.2	A
USGS	04233300	2000-08-27	8.9	A
USGS	04233300	2000-08-28	8.6	A
USGS	04233300	2000-08-29	8.6	A
USGS	04233300	2000-08-30	8.2	A
USGS	04233300	2000-08-31	8.1	A
USGS	04233300	2000-09-01	7.9	A
USGS	04233300	2000-09-02	9.6	A
USGS	04233300	2000-09-03	11	A
USGS	04233300	2000-09-04	9.7	A
USGS	04233300	2000-09-05	9.0	A
USGS	04233300	2000-09-06	8.0	A
USGS	04233300	2000-09-07	7.6	A
USGS	04233300	2000-09-08	7.6	A
USGS	04233300	2000-09-09	8.9	A
USGS	04233300	2000-09-10	9.0	A
USGS	04233300	2000-09-11	8.3	A
USGS	04233300	2000-09-12	53	A
USGS	04233300	2000-09-13	66	A
USGS	04233300	2000-09-14	18	A
USGS	04233300	2000-09-15	28	A
USGS	04233300	2000-09-16	21	A
USGS	04233300	2000-09-17	15	A
USGS	04233300	2000-09-18	12	A
USGS	04233300	2000-09-19	12	A
USGS	04233300	2000-09-20	11	A
USGS	04233300	2000-09-21	13	A
USGS	04233300	2000-09-22	11	A
USGS	04233300	2000-09-23	12	A
USGS	04233300	2000-09-24	12	A
USGS	04233300	2000-09-25	11	A
USGS	04233300	2000-09-26	11	A
USGS	04233300	2000-09-27	10	A
USGS	04233300	2000-09-28	9.7	A
USGS	04233300	2000-09-29	9.4	A
USGS	04233300	2000-09-30	9.4	A
USGS	04233300	2000-10-01	8.3	A
USGS	04233300	2000-10-02	7.8	A
USGS	04233300	2000-10-03	7.6	A
USGS	04233300	2000-10-04	10	A
USGS	04233300	2000-10-05	21	A
USGS	04233300	2000-10-06	77	A
USGS	04233300	2000-10-07	28	A
USGS	04233300	2000-10-08	21	A
USGS	04233300	2000-10-09	19	A
USGS	04233300	2000-10-10	19	A
USGS	04233300	2000-10-11	19	A
USGS	04233300	2000-10-12	16	A
USGS	04233300	2000-10-13	14	A
USGS	04233300	2000-10-14	13	A
USGS	04233300	2000-10-15	13	A
USGS	04233300	2000-10-16	12	A
USGS	04233300	2000-10-17	14	A
USGS	04233300	2000-10-18	57	A
USGS	04233300	2000-10-19	34	A
USGS	04233300	2000-10-20	24	A
USGS	04233300	2000-10-21	21	A
USGS	04233300	2000-10-22	19	A
USGS	04233300	2000-10-23	17	A
USGS	04233300	2000-10-24	16	A
USGS	04233300	2000-10-25	16	A
USGS	04233300	2000-10-26	15	A
USGS	04233300	2000-10-27	15	A
USGS	04233300	2000-10-28	22	A
USGS	04233300	2000-10-29	16	A
USGS	04233300	2000-10-30	15	A
USGS	04233300	2000-10-31	14	A
USGS	04233300	2000-11-01	14	A
USGS	04233300	2000-11-02	13	A
USGS	04233300	2000-11-03	13	A
USGS	04233300	2000-11-04	13	A
USGS	04233300	2000-11-05	13	A
USGS	04233300	2000-11-06	13	A
USGS	04233300	2000-11-07	12	A
USGS	04233300	2000-11-08	12	A
USGS	04233300	2000-11-09	12	A
USGS	04233300	2000-11-10	18	A
USGS	04233300	2000-11-11	44	A
USGS	04233300	2000-11-12	31	A
USGS	04233300	2000-11-13	23	A
USGS	04233300	2000-11-14	22	A
USGS	04233300	2000-11-15	21	A
USGS	04233300	2000-11-16	19	A
USGS	04233300	2000-11-17	18	A
USGS	04233300	2000-11-18	17	A
USGS	04233300	2000-11-19	16	A
USGS	04233300	2000-11-20	15	A
USGS	04233300	2000-11-21	15	A
USGS	04233300	2000-11-22	14	A
USGS	04233300	2000-11-23	13	A:e
USGS	04233300	2000-11-24	13	A:e
USGS	04233300	2000-11-25	13	A:e
USGS	04233300	2000-11-26	28	A
USGS	04233300	2000-11-27	35	A
USGS	04233300	2000-11-28	30	A
USGS	04233300	2000-11-29	33	A
USGS	04233300	2000-11-30	34	A
USGS	04233300	2000-12-01	30	A
USGS	04233300	2000-12-02	26	A
USGS	04233300	2000-12-03	26	A:e
USGS	04233300	2000-12-04	24	A:e
USGS	04233300	2000-12-05	22	A:e
USGS	04233300	2000-12-06	22	A:e
USGS	04233300	2000-12-07	20	A:e
USGS	04233300	2000-12-08	19	A:e
USGS	04233300	2000-12-09	17	A:e
USGS	04233300	2000-12-10	17	A:e
USGS	04233300	2000-12-11	17	A
USGS	04233300	2000-12-12	18	A:e
USGS	04233300	2000-12-13	19	A:e
USGS	04233300	2000-12-14	21	A:e
USGS	04233300	2000-12-15	22	A:e
USGS	04233300	2000-12-16	22	A
USGS	04233300	2000-12-17	390	A
USGS	04233300	2000-12-18	132	A
USGS	04233300	2000-12-19	76	A
USGS	04233300	2000-12-20	60	A:e
USGS	04233300	2000-12-21	55	A:e
USGS	04233300	2000-12-22	45	A:e
USGS	04233300	2000-12-23	42	A:e
USGS	04233300	2000-12-24	40	A:e
USGS	04233300	2000-12-25	38	A:e
USGS	04233300	2000-12-26	37	A:e
USGS	04233300	2000-12-27	36	A:e
USGS	04233300	2000-12-28	35	A:e
USGS	04233300	2000-12-29	34	A:e
USGS	04233300	2000-12-30	33	A:e
USGS	04233300	2000-12-31	32	A:e
USGS	04233300	2001-01-01	31	A:e
USGS	04233300	2001-01-02	31	A:e
USGS	04233300	2001-01-03	30	A:e
USGS	04233300	2001-01-04	30	A:e
USGS	04233300	2001-01-05	30	A:e
USGS	04233300	2001-01-06	30	A:e
USGS	04233300	2001-01-07	28	A:e
USGS	04233300	2001-01-08	26	A:e
USGS	04233300	2001-01-09	25	A:e
USGS	04233300	2001-01-10	24	A:e
USGS	04233300	2001-01-11	26	A:e
USGS	04233300	2001-01-12	34	A:e
USGS	04233300	2001-01-13	28	A:e
USGS	04233300	2001-01-14	36	A
USGS	04233300	2001-01-15	36	A
USGS	04233300	2001-01-16	37	A
USGS	04233300	2001-01-17	28	A
USGS	04233300	2001-01-18	23	A
USGS	04233300	2001-01-19	23	A
USGS	04233300	2001-01-20	21	A
USGS	04233300	2001-01-21	19	A:e
USGS	04233300	2001-01-22	18	A:e
USGS	04233300	2001-01-23	18	A:e
USGS	04233300	2001-01-24	22	A
USGS	04233300	2001-01-25	19	A:e
USGS	04233300	2001-01-26	18	A:e
USGS	04233300	2001-01-27	20	A:e
USGS	04233300	2001-01-28	19	A:e
USGS	04233300	2001-01-29	22	A:e
USGS	04233300	2001-01-30	29	A
USGS	04233300	2001-01-31	39	A
USGS	04233300	2001-02-01	36	A
USGS	04233300	2001-02-02	33	A
USGS	04233300	2001-02-03	28	A:e
USGS	04233300	2001-02-04	28	A:e
USGS	04233300	2001-02-05	30	A:e
USGS	04233300	2001-02-06	29	A
USGS	04233300	2001-02-07	27	A
USGS	04233300	2001-02-08	25	A
USGS	04233300	2001-02-09	48	A
USGS	04233300	2001-02-10	194	A
USGS	04233300	2001-02-11	65	A:e
USGS	04233300	2001-02-12	59	A
USGS	04233300	2001-02-13	55	A:e
USGS	04233300	2001-02-14	76	A
USGS	04233300	2001-02-15	104	A
USGS	04233300	2001-02-16	63	A
USGS	04233300	2001-02-17	54	A
USGS	04233300	2001-02-18	40	A:e
USGS	04233300	2001-02-19	42	A:e
USGS	04233300	2001-02-20	51	A
USGS	04233300	2001-02-21	50	A:e
USGS	04233300	2001-02-22	35	A:e
USGS	04233300	2001-02-23	38	A:e
USGS	04233300	2001-02-24	36	A:e
USGS	04233300	2001-02-25	52	A
USGS	04233300	2001-02-26	66	A
USGS	04233300	2001-02-27	46	A
USGS	04233300	2001-02-28	40	A
USGS	04233300	2001-03-01	42	A:e
USGS	04233300	2001-03-02	40	A:e
USGS	04233300	2001-03-03	34	A:e
USGS	04233300	2001-03-04	38	A:e
USGS	04233300	2001-03-05	38	A:e
USGS	04233300	2001-03-06	38	A:e
USGS	04233300	2001-03-07	40	A
USGS	04233300	2001-03-08	34	A
USGS	04233300	2001-03-09	33	A
USGS	04233300	2001-03-10	30	A
USGS	04233300	2001-03-11	30	A
USGS	04233300	2001-03-12	32	A
USGS	04233300	2001-03-13	51	A
USGS	04233300	2001-03-14	57	A
USGS	04233300	2001-03-15	53	A
USGS	04233300	2001-03-16	58	A
USGS	04233300	2001-03-17	54	A
USGS	04233300	2001-03-18	51	A
USGS	04233300	2001-03-19	50	A
USGS	04233300	2001-03-20	60	A
USGS	04233300	2001-03-21	105	A
USGS	04233300	2001-03-22	287	A
USGS	04233300	2001-03-23	186	A
USGS	04233300	2001-03-24	154	A
USGS	04233300	2001-03-25	93	A
USGS	04233300	2001-03-26	69	A
USGS	04233300	2001-03-27	58	A
USGS	04233300	2001-03-28	50	A
USGS	04233300	2001-03-29	50	A
USGS	04233300	2001-03-30	458	A
USGS	04233300	2001-03-31	272	A
USGS	04233300	2001-04-01	183	A
USGS	04233300	2001-04-02	147	A
USGS	04233300	2001-04-03	150	A
USGS	04233300	2001-04-04	221	A
USGS	04233300	2001-04-05	281	A
USGS	04233300	2001-04-06	357	A
USGS	04233300	2001-04-07	521	A
USGS	04233300	2001-04-08	679	A
USGS	04233300	2001-04-09	631	A
USGS	04233300	2001-04-10	525	A
USGS	04233300	2001-04-11	368	A
USGS	04233300	2001-04-12	316	A
USGS	04233300	2001-04-13	248	A
USGS	04233300	2001-04-14	178	A
USGS	04233300	2001-04-15	143	A
USGS	04233300	2001-04-16	119	A
USGS	04233300	2001-04-17	103	A
USGS	04233300	2001-04-18	89	A
USGS	04233300	2001-04-19	76	A
USGS	04233300	2001-04-20	68	A
USGS	04233300	2001-04-21	66	A
USGS	04233300	2001-04-22	76	A
USGS	04233300	2001-04-23	60	A
USGS	04233300	2001-04-24	56	A
USGS	04233300	2001-04-25	50	A
USGS	04233300	2001-04-26	48	A
USGS	04233300	2001-04-27	45	A
USGS	04233300	2001-04-28	43	A
USGS	04233300	2001-04-29	38	A
USGS	04233300	2001-04-30	36	A
USGS	04233300	2001-05-01	35	A
USGS	04233300	2001-05-02	33	A
USGS	04233300	2001-05-03	31	A
USGS	04233300	2001-05-04	28	A
USGS	04233300	2001-05-05	26	A
USGS	04233300	2001-05-06	25	A
USGS	04233300	2001-05-07	23	A
USGS	04233300	2001-05-08	22	A
USGS	04233300	2001-05-09	23	A
USGS	04233300	2001-05-10	21	A
USGS	04233300	2001-05-11	20	A
USGS	04233300	2001-05-12	23	A
USGS	04233300	2001-05-13	23	A
USGS	04233300	2001-05-14	19	A
USGS	04233300	2001-05-15	18	A
USGS	04233300	2001-05-16	16	A
USGS	04233300	2001-05-17	16	A
USGS	04233300	2001-05-18	18	A
USGS	04233300	2001-05-19	18	A
USGS	04233300	2001-05-20	15	A
USGS	04233300	2001-05-21	15	A
USGS	04233300	2001-05-22	28	A
USGS	04233300	2001-05-23	34	A
USGS	04233300	2001-05-24	23	A
USGS	04233300	2001-05-25	17	A
USGS	04233300	2001-05-26	19	A
USGS	04233300	2001-05-27	19	A
USGS	04233300	2001-05-28	23	A
USGS	04233300	2001-05-29	18	A
USGS	04233300	2001-05-30	16	A
USGS	04233300	2001-05-31	13	A
USGS	04233300	2001-06-01	14	A
USGS	04233300	2001-06-02	28	A
USGS	04233300	2001-06-03	36	A
USGS	04233300	2001-06-04	45	A
USGS	04233300	2001-06-05	28	A
USGS	04233300	2001-06-06	22	A
USGS	04233300	2001-06-07	17	A
USGS	04233300	2001-06-08	15	A
USGS	04233300	2001-06-09	13	A
USGS	04233300	2001-06-10	12	A
USGS	04233300	2001-06-11	16	A
USGS	04233300	2001-06-12	25	A
USGS	04233300	2001-06-13	15	A
USGS	04233300	2001-06-14	12	A
USGS	04233300	2001-06-15	10	A
USGS	04233300	2001-06-16	33	A
USGS	04233300	2001-06-17	39	A
USGS	04233300	2001-06-18	16	A
USGS	04233300	2001-06-19	12	A
USGS	04233300	2001-06-20	10	A
USGS	04233300	2001-06-21	11	A
USGS	04233300	2001-06-22	59	A
USGS	04233300	2001-06-23	851	A
USGS	04233300	2001-06-24	231	A
USGS	04233300	2001-06-25	105	A
USGS	04233300	2001-06-26	72	A
USGS	04233300	2001-06-27	53	A
USGS	04233300	2001-06-28	41	A
USGS	04233300	2001-06-29	34	A
USGS	04233300	2001-06-30	29	A
USGS	04233300	2001-07-01	28	A
USGS	04233300	2001-07-02	26	A
USGS	04233300	2001-07-03	22	A
USGS	04233300	2001-07-04	21	A
USGS	04233300	2001-07-05	29	A
USGS	04233300	2001-07-06	26	A
USGS	04233300	2001-07-07	20	A
USGS	04233300	2001-07-08	25	A
USGS	04233300	2001-07-09	28	A
USGS	04233300	2001-07-10	19	A
USGS	04233300	2001-07-11	42	A
USGS	04233300	2001-07-12	24	A
USGS	04233300	2001-07-13	19	A
USGS	04233300	2001-07-14	17	A
USGS	04233300	2001-07-15	16	A
USGS	04233300	2001-07-16	14	A
USGS	04233300	2001-07-17	24	A
USGS	04233300	2001-07-18	21	A
USGS	04233300	2001-07-19	17	A
USGS	04233300	2001-07-20	14	A
USGS	04233300	2001-07-21	13	A
USGS	04233300	2001-07-22	12	A
USGS	04233300	2001-07-23	11	A
USGS	04233300	2001-07-24	12	A
USGS	04233300	2001-07-25	15	A
USGS	04233300	2001-07-26	17	A
USGS	04233300	2001-07-27	13	A
USGS	04233300	2001-07-28	10	A
USGS	04233300	2001-07-29	9.5	A
USGS	04233300	2001-07-30	9.2	A
USGS	04233300	2001-07-31	8.6	A
USGS	04233300	2001-08-01	8.1	A
USGS	04233300	2001-08-02	7.3	A
USGS	04233300	2001-08-03	18	A
USGS	04233300	2001-08-04	12	A
USGS	04233300	2001-08-05	9.4	A
USGS	04233300	2001-08-06	7.8	A
USGS	04233300	2001-08-07	6.9	A
USGS	04233300	2001-08-08	6.5	A
USGS	04233300	2001-08-09	5.5	A
USGS	04233300	2001-08-10	5.4	A
USGS	04233300	2001-08-11	5.5	A
USGS	04233300	2001-08-12	5.6	A
USGS	04233300	2001-08-13	6.2	A
USGS	04233300	2001-08-14	5.3	A
USGS	04233300	2001-08-15	4.8	A
USGS	04233300	2001-08-16	5.0	A
USGS	04233300	2001-08-17	17	A
USGS	04233300	2001-08-18	8.9	A
USGS	04233300	2001-08-19	8.0	A
USGS	04233300	2001-08-20	9.9	A
USGS	04233300	2001-08-21	6.7	A
USGS	04233300	2001-08-22	6.2	A
USGS	04233300	2001-08-23	5.9	A
USGS	04233300	2001-08-24	6.1	A
USGS	04233300	2001-08-25	5.2	A
USGS	04233300	2001-08-26	5.0	A
USGS	04233300	2001-08-27	6.6	A
USGS	04233300	2001-08-28	8.5	A
USGS	04233300	2001-08-29	12	A
USGS	04233300	2001-08-30	7.0	A
USGS	04233300	2001-08-31	7.0	A
USGS	04233300	2001-09-01	11	A
USGS	04233300	2001-09-02	7.9	A
USGS	04233300	2001-09-03	6.7	A
USGS	04233300	2001-09-04	8.4	A
USGS	04233300	2001-09-05	7.8	A
USGS	04233300	2001-09-06	6.1	A
USGS	04233300	2001-09-07	5.5	A
USGS	04233300	2001-09-08	5.1	A
USGS	04233300	2001-09-09	4.8	A
USGS	04233300	2001-09-10	6.9	A
USGS	04233300	2001-09-11	8.4	A
USGS	04233300	2001-09-12	6.3	A
USGS	04233300	2001-09-13	5.8	A
USGS	04233300	2001-09-14	12	A
USGS	04233300	2001-09-15	9.4	A
USGS	04233300	2001-09-16	6.9	A
USGS	04233300	2001-09-17	5.9	A
USGS	04233300	2001-09-18	5.4	A
USGS	04233300	2001-09-19	5.0	A
USGS	04233300	2001-09-20	5.6	A
USGS	04233300	2001-09-21	7.5	A
USGS	04233300	2001-09-22	6.7	A
USGS	04233300	2001-09-23	6.3	A
USGS	04233300	2001-09-24	58	A
USGS	04233300	2001-09-25	315	A
USGS	04233300	2001-09-26	56	A
USGS	04233300	2001-09-27	31	A
USGS	04233300	2001-09-28	23	A
USGS	04233300	2001-09-29	18	A
USGS	04233300	2001-09-30	15	A
USGS	04233300	2001-10-01	12	A
USGS	04233300	2001-10-02	11	A
USGS	04233300	2001-10-03	11	A
USGS	04233300	2001-10-04	9.3	A
USGS	04233300	2001-10-05	8.9	A
USGS	04233300	2001-10-06	10	A
USGS	04233300	2001-10-07	9.8	A
USGS	04233300	2001-10-08	8.7	A
USGS	04233300	2001-10-09	8.1	A
USGS	04233300	2001-10-10	7.9	A
USGS	04233300	2001-10-11	7.6	A
USGS	04233300	2001-10-12	7.7	A
USGS	04233300	2001-10-13	8.1	A
USGS	04233300	2001-10-14	8.0	A
USGS	04233300	2001-10-15	18	A
USGS	04233300	2001-10-16	11	A
USGS	04233300	2001-10-17	14	A
USGS	04233300	2001-10-18	13	A
USGS	04233300	2001-10-19	11	A
USGS	04233300	2001-10-20	9.6	A
USGS	04233300	2001-10-21	9.5	A
USGS	04233300	2001-10-22	13	A
